2025-04-17 17:42:03,944 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='els', window_size=5, score_thresholds=array([0. , 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1. , 1.1, 1.2,
       1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9, 2. , 2.1, 2.2, 2.3, 2.4, 2.5,
       2.6, 2.7, 2.8, 2.9, 3. , 3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8,
       3.9, 4. , 4.1, 4.2, 4.3, 4.4, 4.5, 4.6, 4.7, 4.8, 4.9, 5. , 5.1,
       5.2, 5.3, 5.4, 5.5, 5.6, 5.7, 5.8, 5.9, 6. , 6.1, 6.2, 6.3, 6.4,
       6.5, 6.6, 6.7, 6.8, 6.9, 7. ]), topk_range=range(0, 10), corr_threshold_range=array([0. , 0. , 0.1, 0.2, 0.2, 0.2, 0.3, 0.4, 0.4, 0.4, 0.5, 0.6, 0.6,
       0.6]), neighbor_selection='topk', score_modes=['deviation'], data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/els/neighbor_topk', visual_dir='./visual/els/neighbor_topk', num_workers=36, gif_duration=500)
2025-04-17 17:42:03,944 - INFO - 当前评分模式: ['deviation']
2025-04-17 17:42:03,944 - INFO - 
==================================================
2025-04-17 17:42:03,945 - INFO - 开始执行网格搜索...
2025-04-17 17:42:03,948 - INFO - [els-1] Starting grid search...
2025-04-17 17:42:05,625 - INFO - [els-1.txt] mode=deviation, topk=1, threshold=2.1, P=0.2664, R=0.4958, F1=0.3465
2025-04-17 17:42:05,638 - INFO - [els-1.txt] mode=deviation, topk=1, threshold=2.2, P=0.2676, R=0.4958, F1=0.3476
2025-04-17 17:42:05,649 - INFO - [els-1.txt] mode=deviation, topk=1, threshold=2.3, P=0.2694, R=0.4958, F1=0.3491
2025-04-17 17:42:05,653 - INFO - [els-1.txt] mode=deviation, topk=1, threshold=2.4, P=0.2719, R=0.4958, F1=0.3512
2025-04-17 17:42:05,655 - INFO - [els-1.txt] mode=deviation, topk=1, threshold=2.5, P=0.2738, R=0.4958, F1=0.3528
2025-04-17 17:42:05,668 - INFO - [els-1.txt] mode=deviation, topk=1, threshold=2.6, P=0.2746, R=0.4916, F1=0.3524
2025-04-17 17:42:05,691 - INFO - [els-1.txt] mode=deviation, topk=1, threshold=2.7, P=0.2673, R=0.4706, F1=0.3409
2025-04-17 17:42:05,692 - INFO - [els-1.txt] mode=deviation, topk=1, threshold=2.8, P=0.2718, R=0.4706, F1=0.3446
2025-04-17 17:42:05,692 - INFO - [els-1.txt] mode=deviation, topk=1, threshold=2.9, P=0.2772, R=0.4706, F1=0.3489
2025-04-17 17:42:05,721 - INFO - [els-1.txt] mode=deviation, topk=1, threshold=3.0, P=0.2793, R=0.4706, F1=0.3505
